season,horizon,primary_free_source,source_temporal_structure,game_level_panel,book_level_panel,spread_line,side_price,moneyline,total,quote_age_panel,post_equal_kick_rule,rights_class,historical_m1_decision
2021,T-120,bsr-0 The Odds API cache,bulk one fixed gameday snapshot,NOT_DEMONSTRATED,NOT_DEMONSTRATED,SCHEMA_PRESENT,SCHEMA_PRESENT,SCHEMA_PRESENT,SCHEMA_PRESENT,NOT_DEMONSTRATED,REJECT_ROW_IF_EQUAL_OR_POST,LICENSE_REVIEW_REQUIRED,BLOCKED
2021,T-60,bsr-0 The Odds API cache,bulk one fixed gameday snapshot,NOT_DEMONSTRATED,NOT_DEMONSTRATED,SCHEMA_PRESENT,SCHEMA_PRESENT,SCHEMA_PRESENT,SCHEMA_PRESENT,NOT_DEMONSTRATED,REJECT_ROW_IF_EQUAL_OR_POST,LICENSE_REVIEW_REQUIRED,BLOCKED
2021,T-30,bsr-0 The Odds API cache,bulk one fixed gameday snapshot,NOT_DEMONSTRATED,NOT_DEMONSTRATED,SCHEMA_PRESENT,SCHEMA_PRESENT,SCHEMA_PRESENT,SCHEMA_PRESENT,NOT_DEMONSTRATED,REJECT_ROW_IF_EQUAL_OR_POST,LICENSE_REVIEW_REQUIRED,BLOCKED
2021,LATEST_PREKICK,bsr-0 The Odds API cache,bulk one fixed gameday snapshot,NOT_DEMONSTRATED,NOT_DEMONSTRATED,SCHEMA_PRESENT,SCHEMA_PRESENT,SCHEMA_PRESENT,SCHEMA_PRESENT,NOT_DEMONSTRATED,REJECT_ROW_IF_EQUAL_OR_POST,LICENSE_REVIEW_REQUIRED,BLOCKED
2022,T-2160,bsr-0 The Odds API cache,bulk one fixed gameday snapshot,NOT_DEMONSTRATED,NOT_DEMONSTRATED,SCHEMA_PRESENT,SCHEMA_PRESENT,SCHEMA_PRESENT,SCHEMA_PRESENT,NOT_DEMONSTRATED,REJECT_ROW_IF_EQUAL_OR_POST,LICENSE_REVIEW_REQUIRED,BLOCKED
2022,T-720,bsr-0 The Odds API cache,bulk one fixed gameday snapshot,NOT_DEMONSTRATED,NOT_DEMONSTRATED,SCHEMA_PRESENT,SCHEMA_PRESENT,SCHEMA_PRESENT,SCHEMA_PRESENT,NOT_DEMONSTRATED,REJECT_ROW_IF_EQUAL_OR_POST,LICENSE_REVIEW_REQUIRED,BLOCKED
2022,T-360,bsr-0 The Odds API cache,bulk one fixed gameday snapshot,NOT_DEMONSTRATED,NOT_DEMONSTRATED,SCHEMA_PRESENT,SCHEMA_PRESENT,SCHEMA_PRESENT,SCHEMA_PRESENT,NOT_DEMONSTRATED,REJECT_ROW_IF_EQUAL_OR_POST,LICENSE_REVIEW_REQUIRED,BLOCKED
2022,T-120,bsr-0 The Odds API cache,bulk one fixed gameday snapshot,NOT_DEMONSTRATED,NOT_DEMONSTRATED,SCHEMA_PRESENT,SCHEMA_PRESENT,SCHEMA_PRESENT,SCHEMA_PRESENT,NOT_DEMONSTRATED,REJECT_ROW_IF_EQUAL_OR_POST,LICENSE_REVIEW_REQUIRED,BLOCKED
2022,T-60,bsr-0 The Odds API cache,bulk one fixed gameday snapshot,NOT_DEMONSTRATED,NOT_DEMONSTRATED,SCHEMA_PRESENT,SCHEMA_PRESENT,SCHEMA_PRESENT,SCHEMA_PRESENT,NOT_DEMONSTRATED,REJECT_ROW_IF_EQUAL_OR_POST,LICENSE_REVIEW_REQUIRED,BLOCKED
2022,T-30,bsr-0 The Odds API cache,bulk one fixed gameday snapshot,NOT_DEMONSTRATED,NOT_DEMONSTRATED,SCHEMA_PRESENT,SCHEMA_PRESENT,SCHEMA_PRESENT,SCHEMA_PRESENT,NOT_DEMONSTRATED,REJECT_ROW_IF_EQUAL_OR_POST,LICENSE_REVIEW_REQUIRED,BLOCKED
2022,LATEST_PREKICK,bsr-0 The Odds API cache,bulk one fixed gameday snapshot,NOT_DEMONSTRATED,NOT_DEMONSTRATED,SCHEMA_PRESENT,SCHEMA_PRESENT,SCHEMA_PRESENT,SCHEMA_PRESENT,NOT_DEMONSTRATED,REJECT_ROW_IF_EQUAL_OR_POST,LICENSE_REVIEW_REQUIRED,BLOCKED
2023,T-2160,bsr-0 The Odds API cache,bulk one fixed gameday snapshot,NOT_DEMONSTRATED,NOT_DEMONSTRATED,SCHEMA_PRESENT,SCHEMA_PRESENT,SCHEMA_PRESENT,SCHEMA_PRESENT,NOT_DEMONSTRATED,REJECT_ROW_IF_EQUAL_OR_POST,LICENSE_REVIEW_REQUIRED,BLOCKED
2023,T-720,bsr-0 The Odds API cache,bulk one fixed gameday snapshot,NOT_DEMONSTRATED,NOT_DEMONSTRATED,SCHEMA_PRESENT,SCHEMA_PRESENT,SCHEMA_PRESENT,SCHEMA_PRESENT,NOT_DEMONSTRATED,REJECT_ROW_IF_EQUAL_OR_POST,LICENSE_REVIEW_REQUIRED,BLOCKED
2023,T-360,bsr-0 The Odds API cache,bulk one fixed gameday snapshot,NOT_DEMONSTRATED,NOT_DEMONSTRATED,SCHEMA_PRESENT,SCHEMA_PRESENT,SCHEMA_PRESENT,SCHEMA_PRESENT,NOT_DEMONSTRATED,REJECT_ROW_IF_EQUAL_OR_POST,LICENSE_REVIEW_REQUIRED,BLOCKED
2023,T-120,bsr-0 The Odds API cache,bulk one fixed gameday snapshot,NOT_DEMONSTRATED,NOT_DEMONSTRATED,SCHEMA_PRESENT,SCHEMA_PRESENT,SCHEMA_PRESENT,SCHEMA_PRESENT,NOT_DEMONSTRATED,REJECT_ROW_IF_EQUAL_OR_POST,LICENSE_REVIEW_REQUIRED,BLOCKED
2023,T-60,bsr-0 The Odds API cache,bulk one fixed gameday snapshot,NOT_DEMONSTRATED,NOT_DEMONSTRATED,SCHEMA_PRESENT,SCHEMA_PRESENT,SCHEMA_PRESENT,SCHEMA_PRESENT,NOT_DEMONSTRATED,REJECT_ROW_IF_EQUAL_OR_POST,LICENSE_REVIEW_REQUIRED,BLOCKED
2023,T-30,bsr-0 The Odds API cache,bulk one fixed gameday snapshot,NOT_DEMONSTRATED,NOT_DEMONSTRATED,SCHEMA_PRESENT,SCHEMA_PRESENT,SCHEMA_PRESENT,SCHEMA_PRESENT,NOT_DEMONSTRATED,REJECT_ROW_IF_EQUAL_OR_POST,LICENSE_REVIEW_REQUIRED,BLOCKED
2023,LATEST_PREKICK,bsr-0 The Odds API cache,bulk one fixed gameday snapshot,NOT_DEMONSTRATED,NOT_DEMONSTRATED,SCHEMA_PRESENT,SCHEMA_PRESENT,SCHEMA_PRESENT,SCHEMA_PRESENT,NOT_DEMONSTRATED,REJECT_ROW_IF_EQUAL_OR_POST,LICENSE_REVIEW_REQUIRED,BLOCKED
2024,T-2160,bsr-0 The Odds API cache,bulk one fixed gameday snapshot,NOT_DEMONSTRATED,NOT_DEMONSTRATED,SCHEMA_PRESENT,SCHEMA_PRESENT,SCHEMA_PRESENT,SCHEMA_PRESENT,NOT_DEMONSTRATED,REJECT_ROW_IF_EQUAL_OR_POST,LICENSE_REVIEW_REQUIRED,BLOCKED
2024,T-720,bsr-0 The Odds API cache,bulk one fixed gameday snapshot,NOT_DEMONSTRATED,NOT_DEMONSTRATED,SCHEMA_PRESENT,SCHEMA_PRESENT,SCHEMA_PRESENT,SCHEMA_PRESENT,NOT_DEMONSTRATED,REJECT_ROW_IF_EQUAL_OR_POST,LICENSE_REVIEW_REQUIRED,BLOCKED
2024,T-360,bsr-0 The Odds API cache,bulk one fixed gameday snapshot,NOT_DEMONSTRATED,NOT_DEMONSTRATED,SCHEMA_PRESENT,SCHEMA_PRESENT,SCHEMA_PRESENT,SCHEMA_PRESENT,NOT_DEMONSTRATED,REJECT_ROW_IF_EQUAL_OR_POST,LICENSE_REVIEW_REQUIRED,BLOCKED
2024,T-120,bsr-0 The Odds API cache,bulk one fixed gameday snapshot,NOT_DEMONSTRATED,NOT_DEMONSTRATED,SCHEMA_PRESENT,SCHEMA_PRESENT,SCHEMA_PRESENT,SCHEMA_PRESENT,NOT_DEMONSTRATED,REJECT_ROW_IF_EQUAL_OR_POST,LICENSE_REVIEW_REQUIRED,BLOCKED
2024,T-60,bsr-0 The Odds API cache,bulk one fixed gameday snapshot,NOT_DEMONSTRATED,NOT_DEMONSTRATED,SCHEMA_PRESENT,SCHEMA_PRESENT,SCHEMA_PRESENT,SCHEMA_PRESENT,NOT_DEMONSTRATED,REJECT_ROW_IF_EQUAL_OR_POST,LICENSE_REVIEW_REQUIRED,BLOCKED
2024,T-30,bsr-0 The Odds API cache,bulk one fixed gameday snapshot,NOT_DEMONSTRATED,NOT_DEMONSTRATED,SCHEMA_PRESENT,SCHEMA_PRESENT,SCHEMA_PRESENT,SCHEMA_PRESENT,NOT_DEMONSTRATED,REJECT_ROW_IF_EQUAL_OR_POST,LICENSE_REVIEW_REQUIRED,BLOCKED
2024,LATEST_PREKICK,bsr-0 The Odds API cache,bulk one fixed gameday snapshot,NOT_DEMONSTRATED,NOT_DEMONSTRATED,SCHEMA_PRESENT,SCHEMA_PRESENT,SCHEMA_PRESENT,SCHEMA_PRESENT,NOT_DEMONSTRATED,REJECT_ROW_IF_EQUAL_OR_POST,LICENSE_REVIEW_REQUIRED,BLOCKED
2025,T-2160,bobby-king3 DuckDB,4 fixed captures/day; 636 snapshots,DOCUMENTED_FULL_SEASON_SOURCE_NOT_ROW_AUDITED,DOCUMENTED_30PLUS_NOT_ROW_AUDITED,SCHEMA_PRESENT,SCHEMA_PRESENT,SCHEMA_PRESENT,SCHEMA_PRESENT,NOT_ROW_MEASURED,REJECT_ROW_IF_EQUAL_OR_POST,LICENSE_REVIEW_REQUIRED,BLOCKED
2025,T-720,bobby-king3 DuckDB,4 fixed captures/day; 636 snapshots,DOCUMENTED_FULL_SEASON_SOURCE_NOT_ROW_AUDITED,DOCUMENTED_30PLUS_NOT_ROW_AUDITED,SCHEMA_PRESENT,SCHEMA_PRESENT,SCHEMA_PRESENT,SCHEMA_PRESENT,NOT_ROW_MEASURED,REJECT_ROW_IF_EQUAL_OR_POST,LICENSE_REVIEW_REQUIRED,BLOCKED
2025,T-360,bobby-king3 DuckDB,4 fixed captures/day; 636 snapshots,DOCUMENTED_FULL_SEASON_SOURCE_NOT_ROW_AUDITED,DOCUMENTED_30PLUS_NOT_ROW_AUDITED,SCHEMA_PRESENT,SCHEMA_PRESENT,SCHEMA_PRESENT,SCHEMA_PRESENT,COARSE_CADENCE,REJECT_ROW_IF_EQUAL_OR_POST,LICENSE_REVIEW_REQUIRED,BLOCKED
2025,T-120,bobby-king3 DuckDB,4 fixed captures/day; 636 snapshots,DOCUMENTED_FULL_SEASON_SOURCE_NOT_ROW_AUDITED,DOCUMENTED_30PLUS_NOT_ROW_AUDITED,SCHEMA_PRESENT,SCHEMA_PRESENT,SCHEMA_PRESENT,SCHEMA_PRESENT,COARSE_STALE_CARRY_RISK,REJECT_ROW_IF_EQUAL_OR_POST,LICENSE_REVIEW_REQUIRED,BLOCKED
2025,T-60,bobby-king3 DuckDB,4 fixed captures/day; 636 snapshots,DOCUMENTED_FULL_SEASON_SOURCE_NOT_ROW_AUDITED,DOCUMENTED_30PLUS_NOT_ROW_AUDITED,SCHEMA_PRESENT,SCHEMA_PRESENT,SCHEMA_PRESENT,SCHEMA_PRESENT,COARSE_STALE_CARRY_RISK,REJECT_ROW_IF_EQUAL_OR_POST,LICENSE_REVIEW_REQUIRED,BLOCKED
2025,T-30,bobby-king3 DuckDB,4 fixed captures/day; 636 snapshots,DOCUMENTED_FULL_SEASON_SOURCE_NOT_ROW_AUDITED,DOCUMENTED_30PLUS_NOT_ROW_AUDITED,SCHEMA_PRESENT,SCHEMA_PRESENT,SCHEMA_PRESENT,SCHEMA_PRESENT,COARSE_STALE_CARRY_RISK,REJECT_ROW_IF_EQUAL_OR_POST,LICENSE_REVIEW_REQUIRED,BLOCKED
2025,LATEST_PREKICK,bobby-king3 DuckDB,4 fixed captures/day; 636 snapshots,DOCUMENTED_FULL_SEASON_SOURCE_NOT_ROW_AUDITED,DOCUMENTED_30PLUS_NOT_ROW_AUDITED,SCHEMA_PRESENT,SCHEMA_PRESENT,SCHEMA_PRESENT,SCHEMA_PRESENT,NOT_DENSE_ENOUGH_TO_ASSERT_TRUE_LATEST,REJECT_ROW_IF_EQUAL_OR_POST,LICENSE_REVIEW_REQUIRED,BLOCKED
